Hop 1:	192.168.1.1
Hop 2:	c-24-8-208-1.hsd1.co.comcast.net (24.8.208.1)
Hop 3:	te-5-1-ur01.wheatridge.co.denver.comcast.net (68.85.221.205)
Hop 4:	te-0-10-0-8-ar02.denver.co.denver.comcast.net (68.86.128.113)
Hop 5:	te-0-10-0-7-ar02.aurora.co.denver.comcast.net (68.86.128.125)
Hop 6:	he-3-9-0-0-cr01.denver.co.ibone.comcast.net (68.86.92.21)
Hop 7:	xe-5-0-2-0-pe01.910fifteenth.co.ibone.comcast.net (68.86.82.202)
Hop 8:	173.167.57.206
Hop 9:	72.14.234.57
Hop 10:	209.85.251.9
Destination "www.youtube.com" reached: den03s05-in-f6.1e100.net (74.125.225.166)
